Địa chỉ,Diện tích,Giá,Trang
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",1
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,1
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,1
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",1
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",1
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",1
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,1
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",1
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",1
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",1
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,1
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",1
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,1
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",1
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",1
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",1
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,1
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,1
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",2
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,2
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,2
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",2
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",2
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",2
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,2
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",2
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",2
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",2
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,2
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",2
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,2
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",2
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",2
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",2
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,2
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,2
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",3
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,3
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,3
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",3
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",3
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",3
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,3
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",3
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ",3
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ",3
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu,3
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ",3
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu,3
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ",3
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ",3
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ",3
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ,3
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ,3
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ",4
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ,4
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu,4
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ",4
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ",4
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ",4
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu,4
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ",4
