Address,Area,Price
"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",57.75,5.5
"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh",35,4.8
"Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",79,4.25
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100,8.2
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",54.6,7.45
"Hẻm 994, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",24.3,1.55
"Đường Tôn Thất Thuyết, Phường 4, Quận 4, Hồ Chí Minh",33,4.5
"Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",120,7.4
"Đường 1C, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",57,7
"Dự án Senturia Nam Sài Gòn, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",56.5,6.1
"Dự án Green Town Bình Tân, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",68,3.68
"Đường Nơ Trang Long, Phường 12, Bình Thạnh, Hồ Chí Minh",16,3.45
"Đường Số 4, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",76,8
"Đường Lê Văn Thọ, Phường 9, Gò Vấp, Hồ Chí Minh",93,7.5
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",60,6.7
"Đường Hương Lộ 3, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",72,6.5
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",100,7.5
"Đường Tô Ký, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh",120,7
"Đường Chu Văn An, Phường 24, Bình Thạnh, Hồ Chí Minh",78,8.9
"Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",39.8,4
"Đường Phan Anh, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",56,4.2
"Đường Đinh Tiên Hoàng, Phường 1, Bình Thạnh, Hồ Chí Minh",37,3.8
"Đường Tam Châu, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",116,5.5
"Đường  Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",31,3.9
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",56,5.68
"Dự án Rosita Garden Khang Điền, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",140,7
"Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Hồ Chí Minh",60,4.5
"Đường Nguyễn Lâm, Phường 3, Bình Thạnh, Hồ Chí Minh",22,3.1
"Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",56,5.95
"Đường Tô Hiệu, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh",22,3.5
"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh",196.2,5.3
"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",35,2.48
"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh",84.4,8.9
"Đường Nguyễn Lộ Trạch, Phường Tân Quý, Tân Phú, Hồ Chí Minh",21,2.92
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",115,8.8
"Đường 32, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",52,4.9
"Đường Lương Ngọc Quyến, Phường 5, Gò Vấp, Hồ Chí Minh",77,6.5
"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",70,6
"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh.",75,8.95
"Đường Số 2 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh",32,9.5
"Đường Huỳnh Văn Nghệ, Phường 15, Tân Bình, Hồ Chí Minh",60,6.9
"Đường 836, Phường Phú Hữu, Quận 9, Hồ Chí Minh",103.5,7.4
"Đường Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",85,6.5
"Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",52,2.6
"Đường Lê Sát, Phường Tân Quý, Tân Phú, Hồ Chí Minh",49.3,7.3
"Đường Đại lộ 3, Phường Phước Bình, Quận 9, Hồ Chí Minh",104,10
"Đường 12, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",60,5.2
"Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh",70,7.9
"Đường Thăng Long, Phường 4, Tân Bình, Hồ Chí Minh",52.5,8.6
"Đường Tân Sơn, Phường 15, Tân Bình, Hồ Chí Minh",57,5.55
"Đường Tam Đông 12, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh",150,4
"Phường 14, Gò Vấp, Hồ Chí Minh",83,8.15
"Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",95,6.1
"Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Hồ Chí Minh",60,5.98
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",42.4,5.95
"Đường Kha Vạn Cân, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",152.1,8.9
"Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",60,5.2
"Dự án Sim City, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh.",88.5,5.3
"Đường Số 2 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh",50,8.5
"Đường Đông Hưng Thuận 27, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",64,4.35
"Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh",85,2.5
"Đường Phạm Văn Đồng, Phường 1, Gò Vấp, Hồ Chí Minh",40,3.6
"Đường Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh",46,5.98
"Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh",35,5.75
"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",50,5.3
"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",93,7.9
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",56,5.9
"Đường 160, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",106,6.7
"Đường Lưu Chí Hiếu, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",56,4.5
"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",64,3.86
"Đường 8, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",37,3.75
"Đường  24, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",123,7.5
"Đường Tên Lửa, Phường An Lạc A, Bình Tân, Hồ Chí Minh",55.5,4.5
"Đường Quách Đình Bảo, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",72,7.6
"Đường 160, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",75,4.75
"Hẻm 822, Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",72,5.95
"Đường 339, Phường Phước Long B, Quận 9, Hồ Chí Minh",107.8,7.5
"Đường Nguyễn Thái Sơn, Phường 3, Gò Vấp, Hồ Chí Minh",68,7.95
"Đường Hiệp Thành 23, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",45.6,2.48
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",91,9.3
"Dự án Hiệp Thành City, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",80,6.5
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",21.5,1.35
"Dự án ST Moritz Phạm Văn Đồng, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",202,7.9
"Đường Bùi Dương Lịch, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",75,5.8
"Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Hồ Chí Minh",56,9
"Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",153,9
"Đường Đông Hưng Thuận 6, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",87,6.7
"Đường Thạnh Lộc 27, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",58,4.85
"Đường Dương Bạch Mai, Phường 5, Quận 8, Hồ Chí Minh",60,4.8
"Đường 8, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",100,4.5
"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",60,6.4
"Dự án The Meadow Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",100,6.9
"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",50,6.4
"Đường 8, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",100,9.5
"Phường Phước Long B, Quận 9, Hồ Chí Minh",56,8.5
"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",35,7.5
"Đường Tân Thới Hiệp 6, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",38,2.6
"Đường 9, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",85,5.1
"Dự án Bàu Cát II, Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh",106.7,7.5
"Đường  Phó Đức Chính, Phường 1, Bình Thạnh, Hồ Chí Minh",10.8,1.7
