Địa chỉ,Diện tích,Giá
"Văn Giang,  tỉnh Hưng Yên",28 - 112 m2,"1,9 - 6,5 Tỷ"
"Quận Bình Thạnh,  TP Hồ Chí Minh",50 m2,2 Tỷ
"Quận 10,  TP Hồ Chí Minh",63 m2,970 Triệu
"quận Ninh Kiều,  thành phố Cần Thơ",70 m2,"1,5 Tỷ"
"Thành phố Quy Nhơn,  Bình Định",50 - 96 m2,"2,4 - 7,9 Tỷ"
"Thành phố Quy Nhơn,  Bình Định",70 - 150 m2,"5,2 - 10 Tỷ"
"Thành phố Quy Nhơn,  Bình Định",35 - 58 m2,499 - 1024 Triệu
"Huyện Bình Chánh,  TP Hồ Chí Minh",97 m2,"1,2 Tỷ"
"Quận 8,  TP Hồ Chí Minh","59,5 m2","1,05 Tỷ"
"Quận Nam Từ Liêm,  Hà Nội",80 m2,"22,5 Tỷ"
"Quận Bình Thạnh,  TP Hồ Chí Minh",65 m2,950 Triệu
"Quận 7,  TP Hồ Chí Minh",60 m2,"1,69 Tỷ"
"Huyện Bình Chánh,  TP Hồ Chí Minh",85 m2,970 Triệu
"Quận Gò Vấp,  TP Hồ Chí Minh",60 m2,"1,46 Tỷ"
"Quận 7,  TP Hồ Chí Minh",58 m2,"1,22 Tỷ"
"Quận Bình Thạnh,  TP Hồ Chí Minh","73,2 m2","18,5 Tỷ"
"Quận Hà Đông,  Hà Nội",94 m2,23 Tỷ
"Quận Tây Hồ,  Hà Nội",267 m2,25 Tỷ
